created_at,entry_id,field1,field2,field3,field4
2018-12-28 10:20:02 UTC,1,20.522,,,
2018-12-28 10:20:27 UTC,2,,50.036,,
2018-12-28 10:25:32 UTC,3,20.722,,,
2018-12-28 10:25:57 UTC,4,,48.946,,
2018-12-28 10:31:02 UTC,5,20.805,,,
2018-12-28 10:31:27 UTC,6,,48.573,,
2018-12-28 10:36:32 UTC,7,20.821,,,
2018-12-28 10:36:57 UTC,8,,48.411,,
2018-12-28 10:42:02 UTC,9,20.864,,,
2018-12-28 10:42:27 UTC,10,,48.370,,
2018-12-28 10:42:52 UTC,11,,48.312,,
2018-12-28 10:47:58 UTC,12,20.834,,,
2018-12-28 10:48:23 UTC,13,,48.394,,
2018-12-28 10:53:28 UTC,14,20.864,,,
2018-12-28 10:53:53 UTC,15,,48.334,,
2018-12-28 10:58:58 UTC,16,20.848,,,
2018-12-28 10:59:23 UTC,17,,48.344,,
2018-12-28 11:04:28 UTC,18,20.821,,,
2018-12-28 11:04:53 UTC,19,,48.357,,
2018-12-28 11:09:59 UTC,20,20.821,,,
2018-12-28 11:10:24 UTC,21,,48.319,,
2018-12-28 11:10:49 UTC,22,,48.298,,
2018-12-28 11:15:55 UTC,23,20.821,,,
2018-12-28 11:16:17 UTC,24,20.805,,,
2018-12-28 11:16:42 UTC,25,,48.412,,
2018-12-28 11:21:47 UTC,26,20.805,,,
2018-12-28 11:22:12 UTC,27,,48.411,,
2018-12-28 11:27:17 UTC,28,20.792,,,
2018-12-28 11:27:42 UTC,29,,48.571,,
2018-12-28 11:32:47 UTC,30,20.765,,,
2018-12-28 11:33:12 UTC,31,,48.658,,
2018-12-28 11:38:17 UTC,32,20.765,,,
2018-12-28 11:38:42 UTC,33,,48.728,,
2018-12-28 11:43:48 UTC,34,20.735,,,
2018-12-28 11:44:13 UTC,35,,48.724,,
2018-12-28 11:44:38 UTC,36,,48.768,,
2018-12-28 11:45:03 UTC,37,,48.814,,
2018-12-28 11:50:08 UTC,38,20.679,,,
2018-12-28 11:50:33 UTC,39,,48.768,,
2018-12-28 11:50:57 UTC,40,,48.786,,
2018-12-28 11:56:03 UTC,41,20.679,,,
2018-12-28 11:56:28 UTC,42,,48.779,,
2018-12-28 12:01:33 UTC,43,20.650,,,
2018-12-28 12:01:58 UTC,44,,49.180,,
2018-12-28 12:02:23 UTC,45,,49.227,,
2018-12-28 12:07:28 UTC,46,20.650,,,
2018-12-28 12:07:53 UTC,47,,49.868,,
2018-12-28 12:12:58 UTC,48,20.650,,,
2018-12-28 12:13:23 UTC,49,,49.964,,
2018-12-28 12:18:28 UTC,50,20.679,,,
2018-12-28 12:18:53 UTC,51,,50.585,,
2018-12-28 12:23:58 UTC,52,20.679,,,
2018-12-28 12:24:23 UTC,53,20.650,,,
2018-12-28 12:24:48 UTC,54,,51.432,,
2018-12-28 12:29:53 UTC,55,20.634,,,
2018-12-28 12:30:18 UTC,56,,51.345,,
2018-12-28 12:30:43 UTC,57,,51.336,,
2018-12-28 12:35:49 UTC,58,20.621,,,
2018-12-28 12:36:13 UTC,59,20.578,,,
2018-12-28 12:36:38 UTC,60,,50.793,,
2018-12-28 12:41:44 UTC,61,20.565,,,
2018-12-28 12:42:09 UTC,62,20.565,,,
2018-12-28 12:42:33 UTC,63,,50.541,,
2018-12-28 12:47:39 UTC,64,20.565,,,
2018-12-28 12:48:04 UTC,65,,50.820,,
2018-12-28 12:53:09 UTC,66,20.522,,,
2018-12-28 12:53:33 UTC,67,,51.029,,
2018-12-28 12:58:39 UTC,68,20.535,,,
2018-12-28 12:59:04 UTC,69,,51.077,,
2018-12-28 13:04:09 UTC,70,20.535,,,
2018-12-28 13:04:34 UTC,71,,51.011,,
2018-12-28 13:04:59 UTC,72,,50.925,,
2018-12-28 13:05:24 UTC,73,,50.916,,
2018-12-28 13:10:29 UTC,74,20.551,,,
2018-12-28 13:10:54 UTC,75,,50.925,,
2018-12-28 13:15:59 UTC,76,20.551,,,
2018-12-28 13:16:24 UTC,77,,50.925,,
2018-12-28 13:21:29 UTC,78,20.535,,,
2018-12-28 13:21:54 UTC,79,,50.869,,
2018-12-28 13:27:00 UTC,80,20.522,,,
2018-12-28 13:27:25 UTC,81,,50.880,,
