created_at,entry_id,field1,field2
2018-12-27 13:06:36 UTC,1,,55.854
2018-12-27 13:09:45 UTC,2,18.634,
2018-12-27 13:10:50 UTC,3,,56.016
2018-12-27 13:12:36 UTC,4,,55.657
2018-12-27 13:14:41 UTC,5,18.703,
2018-12-27 13:15:47 UTC,6,,55.657
2018-12-27 13:17:52 UTC,7,18.703,
2018-12-27 13:18:56 UTC,8,,55.467
2018-12-27 13:21:01 UTC,9,18.717,
2018-12-27 13:22:06 UTC,10,,55.750
2018-12-27 13:24:11 UTC,11,18.746,
2018-12-27 13:25:16 UTC,12,,55.576
2018-12-27 13:27:21 UTC,13,18.730,
2018-12-27 13:28:26 UTC,14,,55.242
2018-12-27 13:30:31 UTC,15,18.746,
2018-12-27 13:31:36 UTC,16,,55.007
2018-12-27 13:33:41 UTC,17,18.647,
2018-12-27 13:34:45 UTC,18,,54.980
2018-12-27 13:36:50 UTC,19,18.647,
2018-12-27 13:37:55 UTC,20,,54.876
2018-12-27 13:40:00 UTC,21,18.591,
2018-12-27 13:41:05 UTC,22,,54.894
2018-12-27 13:43:10 UTC,23,18.548,
2018-12-27 13:44:14 UTC,24,,54.847
2018-12-27 13:46:19 UTC,25,18.548,
2018-12-27 13:47:24 UTC,26,,54.789
2018-12-27 13:49:32 UTC,27,18.548,
2018-12-27 13:50:37 UTC,28,,54.730
2018-12-27 13:52:44 UTC,29,18.535,
2018-12-27 13:53:53 UTC,30,,54.784
2018-12-27 13:57:05 UTC,31,,54.733
2018-12-27 14:00:21 UTC,32,,54.714
2018-12-27 14:03:33 UTC,33,,54.659
2018-12-27 14:05:38 UTC,34,18.436,
2018-12-27 14:06:43 UTC,35,,54.687
2018-12-27 14:08:48 UTC,36,18.378,
2018-12-27 14:09:53 UTC,37,,54.664
2018-12-27 14:11:57 UTC,38,18.335,
2018-12-27 14:13:02 UTC,39,,54.714
2018-12-27 14:15:08 UTC,40,18.322,
2018-12-27 14:16:10 UTC,41,,54.751
2018-12-27 14:18:15 UTC,42,18.305,
2018-12-27 14:19:20 UTC,43,,54.723
2018-12-27 14:22:28 UTC,44,,54.807
2018-12-27 14:24:33 UTC,45,18.236,
2018-12-27 14:25:38 UTC,46,,54.762
2018-12-27 14:27:43 UTC,47,18.193,
2018-12-27 14:28:47 UTC,48,,54.817
2018-12-27 14:30:52 UTC,49,18.167,
2018-12-27 14:31:57 UTC,50,,54.817
2018-12-27 14:34:03 UTC,51,18.153,
2018-12-27 14:35:08 UTC,52,,54.835
2018-12-27 14:37:13 UTC,53,18.124,
2018-12-27 14:38:20 UTC,54,,54.876
2018-12-27 14:40:21 UTC,55,18.111,
2018-12-27 14:41:26 UTC,56,,54.821
2018-12-27 14:43:31 UTC,57,18.111,
2018-12-27 14:44:35 UTC,58,,54.861
2018-12-27 14:46:41 UTC,59,18.054,
2018-12-27 14:47:46 UTC,60,,54.885
2018-12-27 14:49:50 UTC,61,18.054,
2018-12-27 14:50:55 UTC,62,,54.929
2018-12-27 14:53:00 UTC,63,18.025,
2018-12-27 14:54:05 UTC,64,,54.908
2018-12-27 14:56:10 UTC,65,17.982,
2018-12-27 14:57:15 UTC,66,,54.913
2018-12-27 14:59:20 UTC,67,17.998,
2018-12-27 15:00:24 UTC,68,,54.929
2018-12-27 15:02:29 UTC,69,17.969,
2018-12-27 15:03:34 UTC,70,,54.939
2018-12-27 15:05:39 UTC,71,17.956,
2018-12-27 15:06:44 UTC,72,,54.957
2018-12-27 15:08:49 UTC,73,17.913,
2018-12-27 15:09:54 UTC,74,,54.943
2018-12-27 15:11:59 UTC,75,17.900,
2018-12-27 15:13:03 UTC,76,,55.018
2018-12-27 15:15:08 UTC,77,17.870,
2018-12-27 15:16:13 UTC,78,,55.035
2018-12-27 15:18:19 UTC,79,17.857,
2018-12-27 15:19:21 UTC,80,,55.105
2018-12-27 15:21:27 UTC,81,17.814,
2018-12-27 15:22:29 UTC,82,,55.114
2018-12-27 15:24:34 UTC,83,17.814,
2018-12-27 15:25:39 UTC,84,,55.163
2018-12-27 15:27:44 UTC,85,17.771,
2018-12-27 15:28:49 UTC,86,,55.204
2018-12-27 15:30:53 UTC,87,17.731,
2018-12-27 15:31:58 UTC,88,,55.302
2018-12-27 15:34:03 UTC,89,17.745,
2018-12-27 15:35:08 UTC,90,,55.302
2018-12-27 15:37:13 UTC,91,17.673,
2018-12-27 15:38:17 UTC,92,,55.383
2018-12-27 15:40:22 UTC,93,17.673,
2018-12-27 15:41:27 UTC,94,,55.430
2018-12-27 15:43:32 UTC,95,17.603,
2018-12-27 15:44:37 UTC,96,,55.462
2018-12-27 15:46:41 UTC,97,17.617,
2018-12-27 15:47:46 UTC,98,,55.512
2018-12-27 15:49:51 UTC,99,17.587,
2018-12-27 15:50:56 UTC,100,,55.561
2018-12-27 15:53:01 UTC,101,17.544,
2018-12-27 15:54:06 UTC,102,,55.599
2018-12-27 15:56:10 UTC,103,17.488,
2018-12-27 15:57:15 UTC,104,,55.659
2018-12-27 15:59:20 UTC,105,17.488,
2018-12-27 16:00:25 UTC,106,,55.700
2018-12-27 16:02:30 UTC,107,17.432,
2018-12-27 16:03:35 UTC,108,,55.685
2018-12-27 16:05:39 UTC,109,17.419,
2018-12-27 16:06:45 UTC,110,,55.680
